name,description,major,size,impact,momentum,total,website,blurb
Blue Ocean High School Entrepreneur Pitch Competition,"The Blue Ocean High School Entrepreneur Pitch Competition is a prestigious platform for aspiring young entrepreneurs to showcase their innovative business ideas. Participants develop and present their entrepreneurial ventures to a panel of judges, competing for recognition and potential funding. The competition fosters creativity, critical thinking, and business acumen, providing valuable ...",Business,2,2,1,5,https://www.schoolenterprisechallenge.org/,Pitch competition for high school entrepreneurs to present business ideas.
Botball Educational Robotics Program,"Botball is an educational robotics program that challenges students to design, build, and program autonomous robots to compete in dynamic, real-world scenarios. Participants learn valuable skills in engineering, computer science, problem-solving, and teamwork as they navigate their robots through a series of challenges. Botball fosters creativity, innovation, and critical thinking while engaging ...",Engineering,1,2,1,4,https://www.kipr.org/botball,Robotics program teaching autonomous robot design and programming.
Boy Scouts of America,"The Boy Scouts of America is a renowned nonprofit youth organization dedicated to empowering young boys and girls with essential life skills, leadership development, and character-building experiences. The Boy Scouts instill values like integrity, respect, and responsibility while fostering teamwork and promoting a deep appreciation for nature and the environment through various outdoor ...",Environment,3,1,1,5,https://www.seacadets.org/,Empowering youth with life skills and leadership through outdoor activities.
Business Professionals of America (BPA),"Business Professionals of America (BPA) is a leading national organization that prepares students for careers in business and information technology. Through a diverse range of competitive events, leadership development opportunities, and community service initiatives, BPA empowers students to build essential skills in communication, teamwork, and critical thinking. Participants gain real-world ...",Business,3,2,1,6,https://bpa.org/,Preparing students for business and IT careers through competitions and training.
Brower Youth Awards,"The Brower Youth Awards, hosted by the Brower Youth Awards and Earth Island Institute, is a prestigious environmental leadership program that recognizes and empowers young environmental activists. The awards celebrate the outstanding efforts of young individuals, aged 13-22, who have shown exceptional leadership in tackling critical environmental issues and creating positive change in their ...",Environment,2,2,1,5,https://www.broweryouthawards.org/,Environmental leadership awards for young activists creating positive change.
Caribou Math Contests,Caribou Math Contests are engaging and challenging competitions designed to foster mathematical problem-solving skills and logical thinking in students. Participants can test their math prowess through online contests that cover a range of mathematical topics and concepts. The contests aim to inspire a love for mathematics and provide a platform for students to showcase their mathematical ...,STEM,2,1,1,4,https://www.cariboutests.com/,Online math contests enhancing problem-solving and logical thinking skills.
Carnegie Mellon Computer Science Scholars (CSS),"Carnegie Mellon Computer Science Scholars (CSS) is an immersive program that offers high school students a comprehensive curriculum, mentorship, and hands-on projects to develop their computational thinking skills and explore the exciting field of computer science. Through engaging coursework, collaborative projects, and exposure to cutting-edge technologies, CSS provides students with a ...",Computer Science,3,2,1,6,https://www.cmu.edu/pre-college/academic-programs/computer-science-scholars.html,High school program at Carnegie Mellon exploring computer science.
Congressional App Challenge,"The Congressional App Challenge is a coding competition where students design and build their own applications. Participants develop their coding skills, creativity, and problem-solving abilities, showcasing their apps to elected officials and the tech community.",Computer Science,2,2,1,5,https://www.congressionalappchallenge.us/,Coding contest for students to create and showcase their own apps.
Congressional Art Competition,"The Congressional Art Competition is an annual contest held by members of Congress to recognize and encourage artistic talent among high school students. Participants can submit original artwork in various mediums, such as painting, drawing, photography, or mixed media. The competition provides a platform for students to showcase their creativity and express their perspectives through art.",Art,2,1,1,4,https://www.house.gov/educators-and-students/congressional-art-competition,Art competition for high school students to exhibit artistic talent.
Conrad Challenge,"The Conrad Challenge is an innovation and entrepreneurship competition that encourages high school students to develop creative solutions to real-world challenges. Participants work in teams to identify global issues and propose innovative ideas using science, technology, engineering, and mathematics (STEM). Through mentorship and guidance, students refine their concepts and present their ...",Business/STEM,3,2,1,6,https://www.conradchallenge.org/,Team competition developing solutions to global challenges using STEM.
Continental Mathematics League,"The Continental Mathematics League (CML) is a national mathematics competition that challenges students in grades 2-12 to solve challenging math problems. The CML offers a variety of levels, so students of all skill levels can participate. The competition is a great way to test your math skills, learn about different areas of mathematics, and compete for scholarships and prizes.",Mathematics/STEM,2,1,1,4,https://www.cmleague.com/,National math contest for students in grades 2-12 with varying skill levels.
CyberPatriot," CyberPatriot is a national youth cybersecurity competition that educates and trains students in cybersecurity principles and practices. Teams compete in simulated cyber defense exercises, identifying vulnerabilities in computer systems and implementing solutions to secure them. CyberPatriot promotes cyber literacy and prepares students for careers in cybersecurity.",Computer Science/STEM,3,2,1,6,https://www.uscyberpatriot.org/,Cybersecurity competition for students to learn and apply security principles.
CyberStart America,"CyberStart America is a free online cybersecurity training game for high school students. It offers over 200 challenges that cover a variety of topics, such as network security, cryptography, and malware analysis. Students who participate in CyberStart America can develop problem-solving, critical thinking, and teamwork skills. They can also compete for scholarships and prizes.",Computer Science/STEM,2,2,1,5,https://www.cyberstartamerica.org/,Online cybersecurity training game with challenges and scholarship opportunities.
Destination Imagination,"Destination Imagination is an exciting hands-on program that promotes creativity, critical thinking, and teamwork. Students work in teams to solve complex challenges in various fields, including science, technology, engineering, arts, and mathematics (STEAM). They present their solutions at regional and global tournaments, fostering innovation and collaboration among participants from around the ...",STEM,2,2,1,5,https://www.destinationimagination.org/,STEAM-based program where students solve challenges and compete globally.
The Diamond Challenge,"The Diamond Challenge is an entrepreneurship competition that empowers high school students to develop and pitch innovative business ideas. Participants have the option to compete as individuals or in teams, working on their entrepreneurial ventures in areas such as technology, social impact, and sustainability. Through a series of rounds, including business plan submission and live pitch ...",Business,2,2,1,5,https://diamondchallenge.org/,Entrepreneurship competition for innovative business ideas in various fields.
Doodle 4 Google Competition,"The Doodle 4 Google Competition is an annual national contest organized by Google that invites young artists from different age groups to create their own Google doodle based on a given theme. This engaging and educational competition fosters imagination, artistic expression, and technological exploration among participants, making it a highly sought-after opportunity for young talents across the ...",Art,3,2,1,6,https://doodles.google.com/d4g/,National art contest encouraging young artists to create Google doodles.
Economics for Leaders (EFL) Program,"The Economics for Leaders (EFL) program is a summer program for high school students who are interested in learning about economics and leadership. The program is offered by the Foundation for Teaching Economics (FTE), and students have the opportunity to learn from leading economists and business leaders.",Business,2,1,1,4,https://fte.org/students/economics-for-leaders-program/,Summer program teaching economics and leadership to high school students.
Envirothon,"Envirothon is an environmental science competition that encourages high school students to explore and learn about natural resource management and environmental sustainability. Teams compete in hands-on field challenges and testing in areas such as wildlife, forestry, soils, and aquatic ecology. The program fosters environmental stewardship and knowledge of ecological systems.",Environment,3,2,1,6,https://envirothon.org/,Environmental science competition focusing on natural resource management.
Euler Circle Institute,"Euler Circle is an institute based in California that provides high school students with an exceptional opportunity to delve into advanced college-level courses. With a diverse curriculum, students can explore captivating subjects like Abstract Algebra, Number Theory, Combinatorial Game Theory, Cryptography, and Complex Analysis. Expand your horizons, challenge your intellect, and embark on an ...",STEM,2,2,1,5,https://eulercircle.com/,Advanced college-level courses for high school students in various subjects.
Future Problem Solving Program International (FPSPI),"FPSPI is a non-profit educational program that organizes academic competitions in which students apply critical thinking and problem-solving skills to hypothetical future situations. The program offers four competitive components: Global Issues Problem Solving, Community Problem Solving, Scenario Writing, and Scenario Performance.",Communications,2,2,1,5,https://www.fpspi.org/,Academic competitions focusing on future scenarios and problem-solving skills.
Future Engineers Competition,"Future Engineers is an innovative program that encourages students to explore the exciting world of engineering through hands-on projects and challenges. Participants have the opportunity to engage in various engineering design challenges, such as designing a Mars habitat or constructing a bridge, fostering creativity, problem-solving skills, and teamwork. The program aims to inspire the next ...",Engineering,2,2,1,5,https://www.futureengineers.org/,Hands-on engineering challenges for students to explore the field creatively.
DECA (Distributive Education Clubs of America),"DECA (Distributive Education Clubs of America) is an internationally recognized organization that prepares emerging leaders and entrepreneurs in marketing, finance, hospitality, and management through competitive events, community service projects, and professional development opportunities.",Business,3,2,1,6,https://www.deca.org/,"International organization preparing leaders in marketing, finance, and management."
GATSVI Clubs and Venture Challenge,"GATSVI Clubs and Venture Challenge is a year-long program that provides high school students with the opportunity to learn about entrepreneurship and to develop their own businesses. The program includes a series of clubs that focus on different aspects of entrepreneurship, as well as a summer Venture Challenge where students compete for seed funding for their businesses.",Business,2,1,1,4,https://www.gatsvi.org/,Year-long program teaching high school students about entrepreneurship.
Girls who Code,"Girls Who Code is a national nonprofit organization that aims to close the gender gap in technology. It offers coding clubs and summer immersion programs where participants learn programming languages, build projects, and develop teamwork skills.",Computer Science,2,1,1,4,https://girlswhocode.com/,Nonprofit aiming to close the gender gap in technology through coding programs.
Global Youth Entrepreneurship Challenge (GYEC),"Description: The Global Youth Entrepreneurship Challenge (GYEC) is an engaging 12-hour online business competition open to high school students worldwide, aged 14 to 19. Working in teams of up to eight students, participants are challenged to collaboratively address a significant global problem by developing an innovative and sustainable enterprise idea. Winning teams receive a trophy and an ...",Business,2,2,1,5,https://entreplanet.org/GYEC/,12-hour online business competition for global high school students.
Google Code-In,"Google's code-in is an exciting global coding competition for pre-university students aged 13-17. Sponsored by Google, the competition offers participants a chance to work on real-world open-source projects while developing their coding skills and gaining valuable experience. Students collaborate with mentors from various organizations, completing tasks in fields like coding, documentation, ...",Computer Science,3,2,1,6,https://codein.withgoogle.com/archive/,Global coding competition for pre-university students working on open-source projects.
Gutenberg Award,"The Gutenberg Award is a national competition for high school students who create digital projects using open educational resources (OER). Students can create projects in a variety of formats, such as websites, apps, games, paintings, pictures, and much more. The award is a great way to learn about OER and to develop valuable skills in computer science, digital media, and graphic design.",Computer Science,3,2,1,6,https://gceaonline.org/student-resources/student-contests/gutenberg-award/,National competition for digital projects using open educational resources.
Habitat for Humanity,"Habitat for Humanity is a nonprofit organization that focuses on building safe and affordable housing for those in need. Volunteers participate in hands-on construction projects, community development initiatives, and fundraising activities, making a meaningful impact in their local communities.",Environment,2,2,1,5,https://www.habitat.org/,"Nonprofit building affordable housing, offering hands-on volunteer opportunities."
Harvard/MIT Mathematics Tournament (HMMT),The Harvard/MIT Mathematics Tournament (HMMT) is a prestigious mathematics competition organized jointly by Harvard University and the Massachusetts Institute of Technology (MIT). It brings together talented high school students from around the world to participate in challenging mathematical problems and team-based events. HMMT offers an opportunity for students to engage in advanced ...,Mathematics/STEM,2,2,1,5,https://www.hmmt.org/,Prestigious math competition hosted by Harvard and MIT for high school students.
High School Fed Challenge,The High School Fed Challenge is an academic competition that provides high school students with the opportunity to learn about the Federal Reserve System and to develop their research and presentation skills. Teams of students research a current economic issue and present their findings to a panel of judges.,Social Science/History,2,2,1,5,,Economic research and presentation competition for high school students.
National High School Ethics Bowl (NHSEB),"The National High School Ethics Bowl (NHSEB) is an engaging and thought-provoking academic competition that focuses on ethical reasoning and decision-making. Teams of high school students analyze and discuss real-world ethical dilemmas in a collaborative and respectful environment. Participants develop critical thinking skills, ethical awareness, and the ability to construct well-reasoned ...",Communications,3,2,1,6,,Ethics Bowl encouraging high schoolers to discuss and analyze ethical dilemmas.
The Highschool Bridge Building Contest,"The High School Bridge Building Contest offers an exciting and practical extracurricular experience for high school students interested in engineering, physics, and hands-on problem-solving. This competition challenges participants to design, construct, and test model bridges, providing a unique opportunity to apply fundamental principles of physics while developing crucial ""hands-on"" skills. ...",Engineering/STEM,2,2,1,5,,Contest challenging students to design and test model bridges.
Imagine Cup - Microsoft,"Imagine Cup is a global student technology competition organized by Microsoft. It challenges students to innovate and create projects that solve real-world problems using cutting-edge technologies. Participants have the opportunity to showcase their skills, network with industry professionals, and compete on a global stage."", ""skill"": ""All Skill Levels",Computer Science/Business,3,2,1,6,,Microsoft's technology competition for students to solve real-world problems.
Interact Club,"Interact Club is a global youth service organization sponsored by Rotary International. It offers high school students the opportunity to make a positive impact in their communities through service projects and leadership development. By organizing fundraisers, volunteering at local charities, and promoting international understanding, Interact Club members develop a sense of social ...",Communications,3,2,1,6,,Global youth service organization promoting community service and leadership.
International Chemistry Olympiad (IChO),"The International Chemistry Olympiad (IChO) is a prestigious international competition that brings together top high school chemistry students from around the world. Participants engage in rigorous theoretical and practical exams to demonstrate their exceptional knowledge, problem-solving abilities, and experimental skills in various areas of chemistry. The IChO provides a platform for students ...",Chemistry/STEM,3,3,2,8,,International chemistry competition for high school students showcasing expertise.
International Young Physicists' Tournament (IYPT),"The International Young Physicists' Tournament (IYPT) is a prestigious annual competition that brings together young physics enthusiasts from around the world to engage in scientific research and problem-solving challenges. Participating teams tackle complex physics problems and present their findings in a competitive and collaborative environment. With an emphasis on critical thinking, ...",Physics/STEM,3,2,2,7,,Physics tournament for young enthusiasts to solve complex problems collaboratively.
IOI Informatics (International Olympiad in Informatics),"IOI Informatics is an internationally recognized programming competition for high school students, where participants engage in algorithmic problem-solving and showcase their informatics skills on a global stage, fostering a vibrant community of young computer scientists.",Computer Science,3,3,2,8,,Global programming competition for high school students in informatics.
ISEF (International Science and Engineering Fair),"The International Science and Engineering Fair (ISEF) is the world's largest international pre-college science competition, bringing together exceptional high school students from around the globe to showcase their innovative research projects. Participants have the opportunity to present their findings to a panel of expert judges, network with peers, and compete for prestigious awards and scholarships. ISEF celebrates and encourages scientific exploration, critical thinking, and collaboration among the next generation of scientists and engineers.",STEM,3,3,2,8,https://www.societyforscience.org/isef/,World's largest pre-college science fair for innovative student research projects.
John Locke Global Essay Competition,"The John Locke Global Essay Competition is a prestigious essay competition that invites high school students from around the world to engage in critical thinking and express their perspectives on important philosophical, political, and social issues. Participants are encouraged to delve into the ideas of John Locke and apply them to contemporary issues or reflect on historical events. The competition aims to foster intellectual discourse, promote independent thought, and recognize outstanding essays that demonstrate depth of analysis, clarity of thought, and persuasive writing skills.",Social Science/History,3,2,2,7,https://www.johnlockeinstitute.com/essay-competition,Essay competition encouraging critical thinking on philosophical and social issues.
Junior State of America (JSA),"SA is a student-led organization that promotes civic engagement, political awareness, and leadership development. Members participate in debates, discussions, and political simulations to learn about democratic processes, public policy, and current events.",Political Science,2,1,2,5,https://jsa.org/,Student-led organization promoting civic engagement and political awareness.
MATE ROV Competition,"The MATE ROV Competition is an immersive extracurricular activity where students design, build, and operate remotely operated vehicles (ROVs) to complete underwater missions. Through teamwork and problem-solving, participants gain hands-on experience in engineering, robotics, and marine sciences while competing in regional or international events.",STEM,2,2,2,6,https://materovcompetition.org/,ROV design and operation competition in marine sciences and engineering.
MathCounts (Middle Schoolers),"MathCounts is a nationwide mathematics competition for middle school students in the United States. It aims to promote mathematics achievement through a series of engaging contests and events. Students participate in individual and team competitions, solving challenging math problems and demonstrating their problem-solving skills. MathCounts fosters a passion for mathematics, encouraging teamwork ...",Mathematics/STEM,3,1,2,6,https://www.mathcounts.org/,Nationwide math competition for middle schoolers promoting math achievement.
MIT LaunchX Program,"MIT LaunchX is a prestigious entrepreneurship program for high school students that provides them with the knowledge, resources, and mentorship to start their own ventures. Participants develop entrepreneurial skills, learn about business concepts, and work on real-world projects. The program culminates in a Demo Day where students pitch their startup ideas to a panel of investors and industry ...",Business,2,3,2,7,https://www.launchx.com/,Entrepreneurship program at MIT for high school students to launch ventures.
MIT Leadership Training Institute,"The MIT Leadership Training Institute is an intensive program designed for high school students seeking to develop strong leadership skills and foster innovation. Hosted by the Massachusetts Institute of Technology (MIT), this program provides a unique opportunity to explore leadership concepts, problem-solving strategies, and effective teamwork within a dynamic and intellectually stimulating ...",Communications,3,2,2,7,https://www.launchx.com/,Leadership training program at MIT exploring leadership and innovation.
