name,description,major,size,impact,momentum,website,blurb
Yale DHSRI Investment Competition,"The Yale DHSRI High School Investment Competition is an opportunity for students to learn about finance and investing. Participants will form teams and manage a virtual stock portfolio over the course of several weeks. They will research and analyze various stocks, make investment decisions, and track the performance of their portfolio. The competition provides a hands-on experience in the world of finance and allows students to gain practical knowledge about the stock market and investment strategies. This activity can help students develop critical thinking skills and gain a better understanding of how financial markets operate.",Business,2,2,1,https://dhsri.sites.yale.edu/,A stock investment competition where students manage a virtual portfolio.
4H Club,"The 4H Club is a community service activity focused on agricultural and environmental education. Participants engage in hands-on activities such as gardening, animal care, and environmental conservation projects. The club provides opportunities to develop leadership skills, teamwork, and a sense of responsibility through community service initiatives. Members have the chance to learn about sustainable practices and contribute to the betterment of their local community.",Community Service,3,1,1,https://4-h.org/,A club focused on community service and agricultural education.
Habitat for Humanity,"Habitat for Humanity is an architecture activity that involves working with a non-profit organization to build and renovate homes for families in need. Participants work alongside skilled professionals and volunteers to construct or improve housing structures, gaining hands-on experience in architectural design and construction. This activity provides an opportunity to apply classroom knowledge to real-world projects, while also making a positive impact on the community by providing safe and affordable housing options for those in need.",Community Service,2,3,1,https://www.habitat.org/,Students volunteer to help build homes for families in need.
Key Club,"Key Club is a student-led organization that focuses on community service and volunteerism. Members work together to plan and participate in various service projects, such as volunteering at local shelters, organizing fundraisers for charity, and participating in environmental clean-up efforts. The main goal of Key Club is to make a positive impact on the community by giving back and helping those in need. It is a great way to gain leadership experience and make a difference in the world.",Community Service,3,2,1,https://www.keyclub.org/,A student-led organization that focuses on community service and volunteer work.
Interact Club,"The Interact Club is a community service organization that focuses on providing volunteer opportunities for its members. The main goal of the club is to make a positive impact in the local community through various service projects and initiatives. Members participate in activities such as organizing fundraisers, volunteering at local shelters, and participating in environmental clean-up efforts. The club offers a way for students to give back to their community and gain valuable experience in leadership and teamwork.",Community Service,3,2,1,https://www.rotary.org/en/get-involved/interact-clubs,A club that organizes community service projects and fundraisers.
Association for Computing Machinery,"The Association for Computing Machinery (ACM) is a club for students interested in computer science. It provides opportunities for members to participate in coding competitions, attend workshops, and listen to guest speakers from the tech industry. The club also organizes hackathons and coding events where students can collaborate on projects and develop their programming skills. Additionally, the ACM offers networking opportunities and resources for students interested in pursuing a career in technology.",Computer Science,3,2,1,https://www.acm.org/,A club for students interested in computer science and technology.
ACSL,"ACSL (American Computer Science League) is a competitive computer science activity that involves solving programming problems and answering theoretical questions related to computer science. It is a major activity for students interested in coding and problem-solving. Participants compete in five contests throughout the school year, testing their skills in areas such as algorithms, data structures, and computer system architecture. The goal of ACSL is to promote interest and proficiency in computer science among high school students, and to provide a platform for them to showcase their knowledge and abilities in the field.",Computer Science,2,2,1,https://www.acsl.org/,A competition where students solve programming problems in teams.
Carnegie Mellon CS Scholars,"Carnegie Mellon CS Scholars is a program designed to introduce students to the field of computer science. The activity focuses on developing problem-solving skills and understanding of fundamental computer science concepts. Through interactive online modules and guided projects, students will learn about programming, data structures, algorithms, and other key topics in the field. The program aims to provide a solid foundation for students interested in pursuing a career in computer science or related fields.",Computer Science,1,2,1,https://www.cmu.edu/pre-college/academic-programs/computer-science-scholars.html,A computer science program for high school students that offers online courses and coding challenges.
Congressional App Challenge,The Congressional App Challenge is a nationwide competition for students to design and create their own software application. Participants will have the opportunity to showcase their computer science skills by developing an original app and presenting it to a panel of judges. This challenge provides a platform for students to demonstrate their creativity and problem-solving abilities in the field of technology. It is an opportunity to apply coding and programming knowledge to real-world projects and potentially gain recognition for their work.,Computer Science,2,2,1,https://www.congressionalappchallenge.us/,Students create and develop a software application for a specific purpose or audience.
CyberPatriot,CyberPatriot is a cybersecurity competition that simulates real-life scenarios and challenges students to secure computer systems and networks. Participants work in teams to identify and fix vulnerabilities in a set of virtual machines. The competition focuses on the importance of cybersecurity and prepares students for careers in the field. It is a major activity for students interested in computer science and technology.,Computer Science,3,2,1,https://www.uscyberpatriot.org/,A competition where students learn to secure computer systems against cyber attacks.
CyberStart America,"CyberStart America is a program that allows individuals to learn and practice computer science skills in a fun and interactive way. Participants are able to explore various aspects of cybersecurity, coding, and problem-solving through a series of challenges and puzzles. This program is designed for those interested in pursuing a career in computer science or related fields. It provides a hands-on opportunity to develop valuable skills and knowledge in the field of technology.",Computer Science,2,2,1,https://www.cyberstartamerica.org/,An online program that teaches students about cybersecurity through interactive challenges and puzzles.
Girls who Code,"Girls Who Code is a program that focuses on teaching computer science and coding skills to young women. The program aims to close the gender gap in technology by providing opportunities for girls to explore the field of computer science. Through hands-on projects and mentorship from industry professionals, participants learn programming languages, build websites, and develop mobile apps. Girls Who Code also emphasizes the importance of teamwork and leadership in the tech industry. This program provides a supportive and inclusive environment for girls to develop valuable skills for future academic and career opportunities in computer science.",Computer Science,2,2,1,https://girlswhocode.com/,A program designed to teach coding skills to young women.
Google Code-In,"Google Code-In is a global online contest for students interested in computer science. Participants work on tasks provided by open source organizations, gaining hands-on experience in coding, documentation, research, design, and testing. The tasks are varied and cover a wide range of skills, including programming, user interface design, and more. The goal is to introduce students to the world of open source development and provide them with real-world experience working on projects with experienced mentors.",Computer Science,3,2,1,https://codein.withgoogle.com/archive/,A program where students complete coding tasks for open-source projects.
Imagine Cup,"The Imagine Cup is a global competition hosted by Microsoft that focuses on computer science and technology. Participants form teams and use their skills to create innovative projects that address real-world issues. The competition encourages students to think creatively and apply their knowledge of coding, programming, and technology to develop solutions that have a positive impact on society. Winners of the Imagine Cup have the opportunity to showcase their projects on a global stage and receive recognition for their work. This activity provides students with a platform to apply their computer science skills to make a difference in the world.",Computer Science,2,2,1,https://imaginecup.microsoft.com/zh-cn,A competition where students use technology to solve real-world problems.
National Cyber League,"The National Cyber League is a cybersecurity competition where participants can test and enhance their skills in areas such as password cracking, open source intelligence, network traffic analysis, and log analysis. The competition is designed to simulate real-world cybersecurity scenarios, and it provides an opportunity for participants to gain practical experience in a rapidly growing field. Students can compete individually or as part of a team, and the competition allows them to showcase their abilities to potential employers. This activity is ideal for students interested in pursuing a career in cybersecurity or computer science.",Computer Science,2,2,1,https://nationalcyberleague.org/,A national competition testing cybersecurity skills.
National Cyber Scholarship Foundation,"The National Cyber Scholarship Foundation is an opportunity for students to demonstrate their skills in cybersecurity through a series of challenges and competitions. Participants will have the chance to showcase their knowledge of coding, cryptography, and network security. This activity provides an opportunity for students to learn new skills and gain experience in a rapidly growing field.",Computer Science,1,2,1,https://www.nationalcyberscholarship.org/,An activity that provides scholarships and training in cybersecurity.
USACO,"USACO is a competitive programming competition that challenges participants to solve a series of algorithmic problems using computer programming. The competition is designed to test students' problem-solving skills and knowledge of data structures and algorithms. Participants are given a set of problems to solve within a specific time frame, and their solutions are evaluated based on correctness, efficiency, and speed. USACO provides a platform for students to improve their programming abilities and compete with peers from around the world.",Computer Science,3,2,2,http://www.usaco.org/,A competitive programming competition that challenges students to solve complex algorithmic problems.
Wharton Data Science Academy,"The Wharton Data Science Academy is an educational program focused on the field of data science. It provides participants with the opportunity to learn about data analysis, statistics, and programming through a series of online courses and interactive learning modules. The program covers topics such as data visualization, machine learning, and data-driven decision making, giving students a comprehensive understanding of this rapidly growing field. Participants will have the chance to apply their newly acquired skills to real-world data sets, gaining practical experience in data analysis and interpretation.",Computer Science,2,2,1,https://globalyouth.wharton.upenn.edu/programs-courses/data-science-academy/,A program that teaches students data science skills using real-world applications and projects.
Economics for Leaders Program,"The Economics for Leaders (EFL) Program is a specialized program designed for students interested in learning about economics in a real-world context. The program focuses on teaching students about the principles of economics, including supply and demand, market structures, and economic policy. Students will engage in interactive activities, discussions, and simulations to gain a deeper understanding of how economic systems function. The EFL Program provides a unique opportunity for students to develop critical thinking and problem-solving skills while exploring the impact of economics on a global scale.",Economics,2,1,1,https://fte.org/students/economics-for-leaders-program/,A program designed to teach students about economic principles and leadership skills.
Fed Challenge,"The High School Fed Challenge is an Economics competition where students analyze economic and financial conditions and make a presentation to a panel of judges role-playing as the Federal Reserve. Students must demonstrate a deep understanding of monetary policy, economic indicators, and current events to make informed decisions. The goal is to simulate real-world economic scenarios and provide students with a hands-on experience in economic analysis and public speaking. This activity helps students develop critical thinking skills and gain practical knowledge about the economy and financial systems.",Economics,2,2,1,https://www.newyorkfed.org/outreach-and-education/high-school/high-school-fed-challenge,Students analyze economic data and make recommendations for monetary policy to a panel of judges.
National Economics Challenge,"The National Economics Challenge is a competition that tests participants' knowledge of economics. It is a nationwide event that brings together students to showcase their understanding of economic concepts and principles. Participants compete in teams to answer questions related to microeconomics, macroeconomics, international economics, and current events. The competition aims to promote economic literacy and critical thinking skills among high school students. It provides an opportunity for students to apply their classroom knowledge to real-world scenarios and gain valuable experience in economic analysis.",Economics,2,2,1,https://www.councilforeconed.org/programs/for-students/national-economic-challenge/,A competition where students showcase their understanding of economic principles through various challenges.
Quiz Bowl ,"Quiz Bowl is a competitive academic activity where teams of students compete to answer questions about history, literature, science, and other subjects. It is a fast-paced and challenging game that tests participants' knowledge and critical thinking skills. The activity is a great way to learn and review a wide range of topics, and it requires teamwork and quick thinking to succeed.",Education,2,2,1,https://www.naqt.com/about/quiz-bowl.html,A team-based competition where students answer questions on various academic subjects.
Schoolhouse.world,"Schoolhouse.world is an online platform that offers free educational resources and live tutoring sessions in various subjects, including math, science, and humanities. The major focus of the activity is to provide high-quality academic support to students through interactive virtual classrooms led by volunteer tutors. This allows students to receive personalized assistance and guidance in their studies, helping them to improve their understanding and performance in school. The platform also encourages collaboration and peer-to-peer learning among students.",Education,3,2,2,https://Schoolhouse.world,"An online platform connecting students with tutors for live, interactive lessons."
United States Academic Decathlon,"The United States Academic Decathlon is an academic competition that covers ten subjects, including art, economics, literature, mathematics, music, science, social science, and a super quiz on a specific theme. Students are tested on their knowledge through multiple-choice exams, essays, speeches, and interviews. The competition aims to promote academic excellence and foster a spirit of healthy competition among students. It provides an opportunity for participants to develop their critical thinking, public speaking, and time management skills.",Education,2,2,2,https://www.usad.org/,A team-based academic competition covering various subjects.
FIRST Robotics,"FIRST Robotics is a program that allows students to engage in hands-on engineering and problem-solving challenges. Participants work in teams to design, build, and program a robot to compete in a series of tasks and challenges. The activity focuses on applying principles of science, technology, engineering, and math (STEM) to real-world problems. Students have the opportunity to work with industry professionals and gain experience in project management, teamwork, and critical thinking. It provides a platform for students to develop practical skills in a collaborative and competitive environment.",Engineering,3,2,1,https://info.firstinspires.org/,"Students design, build, and program a robot to compete in a yearly challenge."
MITES Summer,"MITES Summer is a program offered by the Massachusetts Institute of Technology (MIT) that focuses on engineering. This program provides students with the opportunity to engage in hands-on engineering projects, take part in workshops and seminars, and receive mentorship from professors and industry professionals. Participants will also have the chance to explore various engineering disciplines and gain valuable insight into the field. Overall, MITES Summer offers a comprehensive and immersive experience for students interested in pursuing a career in engineering.",Engineering,2,2,1,https://mites.mit.edu/,A summer program that offers engineering courses and hands-on projects at a prestigious university.
RSI,"RSI, or Research Science Institute, is a program that offers high school students the opportunity to engage in cutting-edge scientific research in the field of engineering. Participants work with leading researchers and experts in the field to gain hands-on experience and insight into the latest developments in engineering. The program aims to provide students with a deeper understanding of engineering principles and methodologies through intensive research projects and mentorship. Students have the chance to explore various subfields within engineering, such as electrical, mechanical, civil, and biomedical engineering, and to develop their problem-solving and critical thinking skills. RSI is a highly competitive and prestigious program that provides a unique opportunity for high school students to immerse themselves in the world of engineering research.",Engineering,2,3,1,https://www.cee.org/programs/research-science-institute,A summer program for students interested in research and engineering.
VCU Contest,"The VCU Contest is an engineering competition where students have the opportunity to showcase their problem-solving skills and knowledge of engineering principles. Participants are presented with real-world engineering challenges and are tasked with designing and building a solution within a specified time frame. This competition allows students to apply their classroom learning to practical, hands-on projects and gain valuable experience in the field of engineering. It provides a platform for students to demonstrate their creativity, innovation, and technical abilities.",Engineering,2,2,1,https://egr.vcu.edu/departments/computer/about/high-school-programming-contest/,A competition where students showcase their engineering projects and compete for awards.
American Rocketry Challenge,"The American Rocketry Challenge is a competition that challenges students to design, build, and launch a model rocket to specific height and time parameters. This activity combines elements of physics, engineering, and mathematics as students work together to problem-solve and innovate in order to meet the competition's criteria. The challenge encourages students to apply their knowledge of aerodynamics and propulsion to create a successful rocket design. It provides a hands-on opportunity for students to engage in practical engineering and develop their teamwork and communication skills.",Engineering,2,2,1,https://rocketcontest.org/,Students design and launch rockets to meet specific altitude and flight duration targets.
Anson L. Clark Scholars Program,"The Anson L. Clark Scholars Program is a prestigious scholarship activity that provides financial assistance to students pursuing a degree in engineering. This program is designed to support high achieving students who demonstrate a strong interest in the field of engineering and show potential for future success in the industry. Through this program, students have the opportunity to receive financial aid to help cover the costs of their education, as well as access to networking and mentorship opportunities within the engineering community. The program aims to support and encourage talented individuals to pursue careers in engineering, ultimately contributing to the advancement of the field.",Engineering,1,2,1,https://www.depts.ttu.edu/honors/academicsandenrichment/affiliatedandhighschool/clarks/,A program that offers high school students the opportunity to explore various engineering fields through hands-on projects and mentorship.
Beaver Works,"Beaver Works is an engineering program that focuses on teaching students about various engineering principles and practices. The main goal of this activity is to provide hands-on experience in a wide range of engineering fields, such as mechanical, electrical, and civil engineering. Students will have the opportunity to work on real-world engineering projects, collaborate with peers, and learn from industry professionals. This program aims to develop problem-solving skills, critical thinking, and creativity in the field of engineering.",Engineering,2,2,1,https://beaverworks.ll.mit.edu/CMS/bw/bwsi,"Students design and build various engineering projects, gaining hands-on experience in problem-solving and innovation."
BHSEP,"The Berkeley High School Entrepreneurship Program is a hands-on engineering program that allows students to work on real-world engineering projects. Participants will have the opportunity to apply principles from various engineering fields, such as mechanical, electrical, and civil engineering, to solve practical problems. The program aims to give students a taste of what it's like to work as an engineer and to develop their problem-solving and critical thinking skills. Students will work in teams to design, build, and test their solutions, gaining valuable experience and insight into the field of engineering.",Engineering,1,2,1,https://www.decaversity.com/,A high school engineering program where students work on real-world projects.
Botball Educational Robotics Program,"The Botball Educational Robotics Program is an engineering activity that focuses on building and programming robots to complete various tasks. Participants work in teams to design, build, and code their robots to compete in a series of challenges. The program is designed to teach students about engineering, computer programming, and problem-solving skills. It provides hands-on experience in a competitive and collaborative environment, allowing students to apply what they have learned in the classroom to real-world challenges. This program is ideal for students interested in pursuing a career in engineering or technology.",Engineering,1,2,1,https://www.kipr.org/botball,Students use robots to complete specific tasks and compete in a robotics program.
Conrad Challenge,"The Conrad Challenge is a competition where students have the opportunity to develop innovative solutions to real-world problems in the field of engineering. Participants work in teams to create a product or service that addresses a specific challenge, such as improving access to clean water or developing sustainable energy solutions. Throughout the process, students are mentored by industry professionals and receive feedback on their ideas. The goal of the challenge is to encourage creativity, critical thinking, and collaboration, while also providing practical experience in the field of engineering.",Engineering,3,2,1,https://www.conradchallenge.org/,A competition where students create innovative solutions to real-world problems.
FPSPI,"The Future Problem Solving Program International (FPSPI) is an academic competition that challenges students to think critically and creatively about global issues. Participants work in teams to analyze complex problems and develop innovative solutions using a structured problem-solving process. The major focus of the activity is to develop critical thinking, creativity, and collaboration skills. Students are given a future scenario and are tasked with identifying and proposing solutions to potential challenges and opportunities. The program encourages students to think analytically, consider multiple perspectives, and communicate their ideas effectively.",Engineering,2,2,1,https://www.fpspi.org/,Students solve real-world problems using engineering principles and present their solutions to judges.
Future Engineers Competition,"Future Engineers Competition is an annual engineering competition where participants are tasked with solving a real-world engineering challenge. Students work in teams to design, build, and test their solutions, which are then judged based on creativity, functionality, and effectiveness. The competition is a great opportunity to apply engineering principles in a hands-on setting and to gain practical experience in problem-solving and innovation. It also provides a platform for students to showcase their skills and knowledge in the field of engineering.",Engineering,2,2,1,https://www.futureengineers.org/,A competition where students design and build innovative engineering projects.
GYEC,"The Global Youth Entrepreneurship Challenge (GYEC) is a competition where students develop and pitch business ideas to a panel of judges. The goal is to foster innovation, creativity, and problem-solving skills in the field of entrepreneurship. Participants will have the opportunity to network with industry professionals, receive feedback on their ideas, and potentially win prizes for their business concepts. This activity provides a platform for students to showcase their entrepreneurial talents and gain real-world experience in the business world.",Engineering,2,2,1,https://entreplanet.org/GYEC/,A program that allows students to work on engineering projects with industry professionals.
Bridge Building Contest,"The Highschool Bridge Building Contest is an engineering competition where participants design and build a small-scale bridge using specific materials. The goal is to construct a bridge that can hold the most weight without breaking. The activity allows students to apply principles of physics and structural engineering to create a strong and efficient bridge design. Participants have the opportunity to test their problem-solving and critical thinking skills while gaining hands-on experience in the field of engineering. The contest encourages students to collaborate, innovate, and explore the practical applications of their academic knowledge.",Engineering,2,1,1,https://www.bnl.gov/bridgebuilding/,Students design and construct bridges using specified materials to test strength and weight-bearing capacity.
MATE ROV Competition,"The MATE ROV Competition is an engineering competition where teams design, build, and pilot an underwater remotely operated vehicle (ROV). The competition aims to simulate real-world engineering challenges in ocean exploration and research. Participants are tasked with completing specific tasks such as collecting samples, installing equipment, and navigating obstacles in a simulated underwater environment. The competition encourages teamwork, problem-solving, and hands-on engineering skills. It provides a practical application of engineering principles and introduces students to potential career paths in marine technology and engineering.",Engineering,2,2,1,https://materovcompetition.org/,Students design and build underwater robots to compete in various tasks.
MIT THINK Research Program,"The MIT THINK Research Program is an engineering-focused activity that allows students to engage in hands-on research and project-based learning. Participants have the opportunity to work on real-world engineering challenges and develop innovative solutions. The program covers a wide range of engineering disciplines, including mechanical, electrical, and computer engineering. Students will have the chance to collaborate with peers and mentors, gaining valuable experience and insights into the field of engineering. This program offers a unique opportunity to apply classroom knowledge to practical, real-world situations, and to develop critical thinking and problem-solving skills.",Engineering,2,2,1,https://think.mit.edu/,Students engage in scientific research projects mentored by MIT students.
Human Exploration Rover Challenge,"The Human Exploration Rover Challenge is an engineering activity focused on designing and building a human-powered rover for off-road exploration. Participants work in teams to create a vehicle capable of navigating a simulated planetary surface, complete with obstacles and challenging terrain. The goal is to promote problem-solving, innovation, and teamwork while applying principles of engineering and design. The challenge provides a hands-on opportunity to apply theoretical knowledge to a practical, real-world problem.",Engineering,3,2,1,https://www.nasa.gov/learning-resources/nasa-human-exploration-rover-challenge/,"Students design, build, and test a human-powered rover for navigating various terrains."
Odyssey of the Mind,"Odyssey of the Mind is an engineering-based problem-solving competition that involves teams of students working together to solve complex challenges. Participants are given a specific problem to solve within a set time frame, and they must design, build, and present a solution to a panel of judges. The challenges often require creative thinking, engineering skills, and teamwork to successfully complete. This activity provides students with the opportunity to develop their problem-solving abilities and engineering skills in a fun and competitive environment.",Engineering,2,2,1,https://www.odysseyofthemind.com/,A creative problem-solving competition for students to showcase their engineering skills.
Project Paradigm,"Project Paradigm is an engineering activity that involves designing and building a prototype that addresses a real-world problem. Participants work in teams to identify an issue and create a solution using engineering principles. The activity encourages students to think critically, collaborate with peers, and apply their knowledge of math and science to create a practical and innovative design. The goal is to develop a functional prototype that can effectively solve the identified problem. This activity provides students with hands-on experience in engineering and problem-solving skills.",Engineering,2,2,1,https://www.projectparadigm.org/,Students work in teams to design and build a prototype to address a real-world problem.
The Plant the Moon Challenge,"The Plant the Moon Challenge is an aerospace engineering activity that involves designing and building a prototype lunar greenhouse. Participants are tasked with creating a sustainable and efficient system for growing plants on the moon using limited resources and space. The challenge requires students to apply their knowledge of engineering, physics, and biology to solve real-world problems related to space exploration. Through this activity, students gain practical experience in the field of aerospace engineering and develop critical thinking and problem-solving skills.",Engineering,2,2,1,https://plantthemoon.com/,Students design and build a device to plant a seed in a simulated lunar surface.
RoboCup Robotics Competition,"The RoboCup Robotics Competition is an engineering activity where teams design, build, and program autonomous robots to compete in various challenges. The major focus of the activity is to promote advancements in robotics and artificial intelligence. Teams work together to develop innovative strategies and technologies to navigate through obstacles, complete tasks, and ultimately win the competition. This hands-on experience allows students to apply their knowledge in engineering, computer science, and problem-solving to create functional and efficient robotic systems.",Engineering,2,2,1,https://www.robocup.org/,Students design and build robots to compete in various challenges.
RISE,"RISE is an engineering program that focuses on the principles of research, innovation, and design. Students in this program have the opportunity to work on real-world engineering projects, apply problem-solving skills, and gain hands-on experience in various engineering fields such as mechanical, electrical, and civil engineering. The program also emphasizes collaboration, communication, and critical thinking, which are essential skills for a successful career in engineering. Through RISE, students can explore their interests in engineering and gain valuable insight into the field before pursuing further education or a career in engineering.",Engineering,2,2,2,https://www.bu.edu/mysummer/academics/research-internship-in-science-engineering/,A high school engineering program that focuses on hands-on projects and problem-solving.
Rube Goldberg Machine Contest,"The Rube Goldberg Machine Contest is an engineering activity where participants are challenged to design and build a complex machine that performs a simple task in a convoluted way. The goal is to use everyday materials to create a chain reaction that ultimately completes the assigned task. This activity allows students to apply their knowledge of physics and engineering principles in a practical and creative manner. It also fosters teamwork, problem-solving, and innovation. This competition provides an opportunity for students to showcase their skills in designing and constructing intricate machines while also having fun.",Engineering,2,2,1,https://www.rubegoldberg.org/rube-goldberg-contests/,Students design and build a complex machine to complete a simple task using a series of chain reactions.
Samsung Solve for Tomorrow Challenge,"The Samsung Solve for Tomorrow Challenge is an engineering competition that encourages students to identify a community issue and develop a solution using STEM (science, technology, engineering, and math) principles. Students work in teams to research a local problem, design a project to address it, and then build a prototype or model. The goal is to create an innovative and practical solution that can have a positive impact on the community. The challenge provides an opportunity for students to apply their engineering skills to real-world problems and make a difference in their local area.",Engineering,2,2,1,https://www.samsung.com/us/solvefortomorrow/,Students use engineering to solve real-world problems in their communities.
